Strategy,Environment,Agents,Trials,WarmUpEpisodesPerTrial,SuccessRate,SuccessRateStd,SuccessRateCI95Lower,SuccessRateCI95Upper,NormReturn,NormReturnStd,NormReturnCI95Lower,NormReturnCI95Upper,Makespan,MakespanStd,MakespanCI95Lower,MakespanCI95Upper,ActionEfficiency,ActionEfficiencyStd,ManagerUtil,ManagerUtilStd,DelegationSuccess,DelegationSuccessStd,MessagesPerEp,MessagesPerEpStd,BytesPerStep,BytesPerStepStd,CoordLatency,CoordLatencyStd
tree,fault_recovery,5,5,1,0.08,0.044721359549995794,0.0408,0.1192,2.761,1.5327809693495023,1.4174582427032647,4.104541757296736,16.0,9.591663046625438,7.592536648905332,24.40746335109467,1.968,0.6228322406555397,2.5387540168124665,1.974296458428099,0.09432309089356815,0.02143759516994107,6.84,3.3493282908666924,7.411122713917513,3.7004939141873305,7.291055387920803e-05,2.334193839285484e-05
tree,fault_recovery,8,5,1,0.28,0.14832396974191325,0.14998830821806836,0.4100116917819317,2.326,1.732351725256739,0.8075267623036619,3.844473237696338,16.3,4.787715762471935,12.103382102480882,20.49661789751912,4.432,2.425720511518176,9.936201494430257,3.7634587260901617,0.21764449001291106,0.132872708380359,19.34,9.335041510352271,27.907956562179628,19.413252945997538,6.528597696417972e-05,1.7321226268488123e-05
tree,fault_recovery,12,5,1,0.74,0.23021728866442676,0.5382056492366548,0.9417943507633452,3.355,1.6115791944549296,1.9423885530691747,4.767611446930825,14.472698412698414,2.539414271545626,12.246803662488436,16.69859316290839,11.732,1.5441243473243988,107.75361590211658,79.6742591704373,0.5058394245654724,0.09698178063828154,47.06,17.925205717090112,183.76336911853176,149.6902127595472,6.125133114886266e-05,1.0215976261036275e-05
tree,scalability,3,5,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,34.84,0.6730527468185526,34.250043255822945,35.42995674417706,13.936,0.2692210987274212,100.0,0.0,0.7883815732503329,0.047519355594166764,71.5,1.9761072845369518,205.20354546386685,2.4470826805150994,3.126224009750513e-05,9.908256459120095e-07
tree,scalability,5,5,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,23.54,0.6503845016603635,22.96991284876784,24.110087151232158,18.832,0.5203076013282906,100.0,0.0,0.7576008636489167,0.04764961797873534,72.02,2.0644611887851054,305.9505718068059,2.9659032394724423,4.172738209597546e-05,2.206519756729117e-06
tree,scalability,8,5,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.76,0.456070170039655,14.360236870134326,15.159763129865674,17.712,0.5472842040475862,200.0,0.0,0.7683610040499861,0.03804118668917971,71.72,1.2194260945215192,486.1755770033916,12.924178778884775,4.898600622747865e-05,7.338121280592868e-07
tree,scalability,12,5,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.44,1.0784247771634328,13.49471900473986,15.385280995260139,23.104,1.725479643461493,400.0,0.0,0.7873512134441676,0.06061917696495291,70.89999999999999,2.3097618924902226,492.3145689999315,22.483815442497516,7.412411726812506e-05,4.629731951512177e-05
peer_to_peer,task_distribution,3,5,1,1.0,0.0,1.0,1.0,0.91966,0.0009126883367283628,0.9188599934000272,0.9204600065999728,24.28,0.6534523701081816,23.707223743508866,24.852776256491136,14.568,0.39207142206490936,0.0,0.0,1.0,0.0,43.78,0.3420526275297428,180.4162217232753,4.991524286740632,4.3924930505454544e-05,2.925835318147543e-06
peer_to_peer,task_distribution,5,5,1,1.0,0.0,1.0,1.0,0.9428,0.000659545297913649,0.9422218830568129,0.9433781169431871,14.2,0.8154753215150042,13.48520436487063,14.91479563512937,14.2,0.8154753215150042,0.0,0.0,1.0,0.0,67.5,2.4238399287081647,475.8670699891054,12.245559596214159,7.799127302132547e-05,2.106833409121446e-06
peer_to_peer,task_distribution,8,5,1,1.0,0.0,1.0,1.0,0.94336,0.0005683308895353098,0.9428618360109361,0.9438581639890639,13.52,0.43817804600413257,13.135920008331597,13.904079991668402,21.632,0.7010848736066133,0.0,0.0,1.0,0.0,105.88,2.0861447696648474,783.7946428571429,29.78774784489209,0.0001047353921458125,8.835168209687547e-06
